Admin,Year,Individual/Company,Industry,Nationality,US/0-US,Penalty,Sanctions Regime,Tag,Voluntary Disclosure?,Egregious Case?,# of violations,Violation Date(s),Announcement Date,Countries Involved,SDN Individual or Entity?,Subsidiary?,Successor Liability,Item(s) Exported/ Other Violations,Value of Items/ Transactions,Items Eligble for License?
Trump,2020,An Individual,Security,U.S.,U.S.,"$5,000",Foreign Narcotics Kingpin Sanctions Regulations,FNKSR,NO,YES,24,2015,8/11/2020,"United States, Colombia",YES,N/A,N/A,personal purchases,3349.33,NO
Trump,2020,"Whitford Worldwide Company, LLC",Machinery,U.S.,U.S.,"$824,314",Iranian Transactions and Sanctions Regulations,ITSR,YES,NO,74,November 2012 to December 2015,7/28/2020,Iran,NO,YES,NO,Retail Goods,3050000,YES
Trump,2020,Essentra FZE Company Limited,Retail,UAE,Foreign,"$665,112",North Korea Sanctions Regulations,NKSR,NO,YES,3,September 2018 to December 2018,,North Korea,NO,NO,NO,Retail Goods,332272,NO
Trump,2020,"Amazon.com, Inc.",Retail,U.S.,U.S.,"$134,523","Cuban Assets Control Regulations, the Democratic Republic of the Congo Sanctions Regulations, the Foreign Narcotics Kingpin Sanctions Regulations, the Global Terrorism Sanctions Regulations, the Iranian Transactions and Sanctions Regulations, the Narcotics Trafficking Sanctions Regulations, the North Korea Sanctions Regulations, the Syrian Sanctions Regulations, the Sudanese Sanctions Regulations, the
Transnational Criminal Organizations Sanctions Regulations, Executive Order 13685 of December 19, 2014, “Blocking Property of Certain Persons and Prohibiting Certain Transactions With Respect to the Crimea Region of Ukraine”; the Venezuela Sanctions Regulations, the Weapons of Mass Destruction Proliferators Sanctions Regulations, and the Zimbabwe Sanctions Regulations","CACR, DRCSR, FNKSR, GTSR, ITSR, NTSR, NKSR, SySR, SSR, TCOSR, VSR, WMDPSR, ZSR",YES,NO,607,"November 15, 2011 to  October 18, 2018",7/8/2020,"Russia, Iran, Syria, Congo, Sudan, Zimbabwe, North Korea, Venezuela, Japan, Belgium",YES,NO,NO,Retail Goods,269000,YES
Trump,2020,"BIOMIN America, Inc.",Agricultural,U.S.,U.S.,"$257,862", Cuban Assets Control Regulations,CACR,YES,NO,44,"July 11, 2012 to September 29, 2017",5/6/2020,"Cuba, United States", ,YES,YES,Agricultural Commodities,17391950.25,YES
Trump,2020,Societe Internationale de Telecommunications Aeronautiques SCR,Aerospace,Swiss,Foreign,"$7,829,640",Global Terrorism Sanctions Regulation,GTSR,NO,NO,"9,256",April 2013 to February 2018,2/26/2020,"Switzerland, Singapore, United States, Syria, Iran","Mahan Air, Syrian
Arab Airlines, Caspian Air",NO,NO,Aerospace software,2428200,NO
Trump,2020,Eagle Shipping International (USA) LLC,Shipping,Mashall Islands,Foreign,"$1,125,000",Burmese Sanctions Regulations (BSR),BSR,YES,YES,36,"June 3, 2011 to 2014",1/27/2020,"Singapore, Burma, ",Myawaddy,YES,YES,Export of goods,1796400,YES
Trump,2020,"Park Strategies, LLC",Financial,U.S.,U.S.,"$12,150",Global Terrorism Sanctions,GTSR,YES,NO,1,"August 25, 2017 to November 25, 2017",1/21/2020,Somalia,Al-Barakaat,NO,NO,Lobbying,30000,NO
Trump,2019,Allianz Global Risks US Insurance Company ,Insurance,U.S.,U.S.,"$170,535",Cuban Assets Control Regulations,CACR,YES,NO,"6,474"," August 20, 2010 and January 15, 2015",12/9/2019,"Canada, Germany",,YES,NO,Insurance,548691,NO
Trump,2019,Ace Limited,Insurance,Switzerland,Foreign,"$66,212",Cuban Assets Control Regulations,CACR,YES,NO,"20,291"," January 1, 2010 and December 31, 2014",12/9/2019,"Switzerland, UK",,YES,YES,Insurance,367847,NO
